text,iq
Imagination is more important than knowledge.,160
"Life is like riding a bicycle. To keep your balance, you must keep moving.",160
Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,160
A person who never made a mistake never tried anything new.,160
"Education is not the learning of facts, but the training of the mind to think.",160
The important thing is not to stop questioning. Curiosity has its own reason for existing.,160
Anyone who has never made a mistake has never tried anything new.,160
Logic will get you from A to B. Imagination will take you everywhere.,160
The true sign of intelligence is not knowledge but imagination.,160
The only source of knowledge is experience.,160
You have to learn the rules of the game. And then you have to play better than anyone else.,160
"Look deep into nature, and then you will understand everything better.",160
The measure of intelligence is the ability to change.,160
A clever person solves a problem. A wise person avoids it.,160
I have no special talent. I am only passionately curious.,160
"It's not that I'm so smart, it's just that I stay with problems longer.",160
"Science without religion is lame, religion without science is blind.",160
Peace cannot be kept by force; it can only be achieved by understanding.,160
"I speak to everyone in the same way, whether he is the garbage man or the president of the university.",160
The only way to escape the corruptible effect of praise is to go on working.,160
Art is the lie that enables us to realize the truth.,150
Freedom is nothing but a chance to be better.,149
"To be, or not to be, that is the question.",145
The unexamined life is not worth living.,140
In the middle of difficulty lies opportunity.,135
"What we think, we become.",130
"Not everything that is faced can be changed, but nothing can be changed until it is faced.",125
The only thing necessary for the triumph of evil is for good men to do nothing.,138
The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.,132
"It is our choices, Harry, that show what we truly are, far more than our abilities.",142
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",124
It does not matter how slowly you go as long as you do not stop.,120
Our lives begin to end the day we become silent about things that matter.,128
Innovation distinguishes between a leader and a follower.,133
The purpose of our lives is to be happy.,118
The future belongs to those who believe in the beauty of their dreams.,125
It always seems impossible until it's done.,130
Knowledge is power.,135
"I think, therefore I am.",140
The best revenge is massive success.,130
"The heart has its reasons, which reason knows not.",110
Simplicity is the ultimate sophistication.,105
"Whatever you are, be a good one.",95
Happiness can exist only in acceptance.,90
The only limit to our realization of tomorrow will be our doubts of today.,85
It is never too late to be what you might have been.,80
What lies behind us and what lies before us are tiny matters compared to what lies within us.,75
"Do what you can, with what you have, where you are.",70
Not all those who wander are lost.,65
Life is 10% what happens to us and 90% how we react to it.,60
The best way to predict your future is to create it.,55
You must be the change you wish to see in the world.,50
The only true wisdom is in knowing you know nothing.,45
"To live is the rarest thing in the world. Most people exist, that is all.",40
"It is hard to fail, but it is worse never to have tried to succeed.",35
"Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.",30
Believe you can and you're halfway there.,25
Act as if what you do makes a difference. It does.,20
"Our greatest glory is not in never falling, but in rising every time we fall.",15
The only thing worse than being blind is having sight but no vision.,10
